from,to,distance,road_type,road_name,oneway
250363513,7035475569,121.96864215008188,residential,Gandhi Street,False
250363513,250363498,42.48392277602654,residential,Gandhi Street,False
250363513,250363516,41.64490813611779,residential,2nd Street,False
250363513,2237675844,44.46925159412057,residential,2nd Street,False
250363515,7035475575,111.40613474931438,residential,Hospital Road,False
250363515,250363496,46.29537148171149,residential,Hospital Road,False
250363515,250363519,31.638890567832966,residential,2nd Street,False
250363516,250363518,48.94121586202748,residential,2nd Street,False
250363516,250363513,41.64490813611779,residential,2nd Street,False
250363516,7035475577,119.36705688547137,residential,,False
250363518,250363519,48.08710674589465,residential,2nd Street,False
250363518,250363516,48.94121586202748,residential,2nd Street,False
250363518,250363523,40.22641258402678,residential,,False
250363519,250363515,31.638890567832966,residential,2nd Street,False
250363519,250363518,48.08710674589465,residential,2nd Street,False
250363519,250363522,37.07550575862883,residential,,False
250363522,250363524,37.66466625412252,residential,,False
250363522,250363519,37.07550575862883,residential,,False
250363522,250363523,46.91376788212397,residential,,False
250363523,250363518,40.22641258402678,residential,,False
250363523,250363525,36.54232540935592,residential,,False
250363523,250363522,46.91376788212397,residential,,False
250363524,7035475572,37.93942757191279,residential,,False
250363524,250363522,37.66466625412252,residential,,False
250363524,250363525,47.846954928602734,residential,,False
250363525,250363523,36.54232540935592,residential,,False
250363525,7035475576,40.47425158928048,residential,,False
250363525,250363524,47.846954928602734,residential,,False
250363542,269768067,35.94802701028729,residential,,False
250363542,250363586,254.44971337806092,residential,East Road,False
250363542,3048092023,93.48142361067619,residential,,False
250363542,1723299453,183.40508957235045,residential,,False
250363545,11491395648,49.92688304299447,residential,East Road,False
250363545,250363586,69.74422187878046,residential,East Road,False
250363545,250363552,282.15346023361417,residential,1st Cross Street,False
250363552,250363580,61.79056881488845,residential,West Road,False
250363552,250363500,48.77321575603056,residential,West Road,False
250363552,250363545,282.15346023361417,residential,1st Cross Street,False
250363577,250363580,35.15676211817456,residential,West Road,False
250363577,2239155981,35.61251366243856,residential,,False
250363577,269768067,257.92208242665754,residential,West Road,False
250363580,250363577,35.15676211817456,residential,West Road,False
250363580,250363552,61.79056881488845,residential,West Road,False
250363580,1723299453,214.3526568298695,residential,2nd Cross Street,False
250363586,1723299453,73.19241097126466,residential,2nd Cross Street,False
250363586,250363545,69.74422187878046,residential,East Road,False
250363586,250363542,254.44971337806092,residential,East Road,False
250363589,250363592,61.76219817493533,residential,Muthurangam Road,False
250363589,250363597,31.287798642830737,residential,Hospital Road,False
250363589,250363497,128.78126101388463,residential,Hospital Road,False
250363592,250363589,61.76219817493533,residential,Muthurangam Road,False
250363595,250363603,44.319851788372986,residential,,False
250363595,248700536,75.58389045218046,residential,,False
250363595,250363597,28.307075561728322,residential,Hospital Road,False
250363597,250363608,51.11000112283066,residential,,False
250363597,250363605,75.24506281081577,residential,,False
250363597,250363589,31.287798642830737,residential,Hospital Road,False
250363597,250363595,28.307075561728322,residential,Hospital Road,False
250363603,250363595,44.319851788372986,residential,,False
250363605,248700536,28.429772425551253,secondary,New Boag Road,False
250363605,250363597,75.24506281081577,residential,,False
250363608,250363597,51.11000112283066,residential,,False
251172939,338466168,65.78307053114212,residential,New Colony 1st Street,False
251172939,4294274223,13.045303304621289,tertiary,New Colony Main Road,False
251172939,338466165,77.26677218487038,primary,Taramani Link Road,True
251172944,251172939,174.85608696671903,primary,Taramani Link Road,True
251172944,4226494690,8.561461913090302,primary_link,,False
251172944,338223241,55.386790547350124,residential,Ayodhya Colony,False
251296646,338466558,124.5931399356386,residential,Raniyammal Street,False
251296646,338466414,31.62955777478461,primary,Taramani Link Road,True
252391738,269219247,93.75645539624446,residential,Murugappa Road,False
252391738,9189133175,138.77202022224208,residential,Ranjith Road,False
252391738,269219217,123.89946736396652,residential,Ranjith Road,False
252391739,269219247,139.39325165279794,residential,Murugappa Road,False
252391739,6496905521,9.378091222167704,residential,,False
252391739,269219300,97.93299959336385,secondary,Gandhi Mandapam Road,True
256029411,364879856,59.06942999104124,residential,,False
256029411,11033780594,17.15405738545707,tertiary,,True
256029471,364879668,25.87002569579297,residential,,False
256029471,364879856,52.78219078720353,residential,,False
256029471,7826394668,79.84827359738563,residential,,False
256029482,364879855,67.94205081054275,residential,,False
256029482,256029539,69.53112471601104,residential,,False
256029482,11033780594,150.49784950689173,tertiary,,False
256029482,12995827023,89.08377968444475,tertiary,,False
256029493,7826394670,30.896385580487408,residential,,False
