id,latitude,longitude
264040106,13.0189708,80.2633691
264040107,13.0178306,80.2635711
264040109,13.0173108,80.2638092
264040114,13.0187083,80.2655125
264040182,13.0164163,80.2652626
264040224,13.0232213,80.2659938
264040225,13.0238861,80.2664458
264040247,13.0174296,80.2667476
264040311,13.0189362,80.2675193
264040315,13.0178187,80.270183
264040319,13.0207496,80.2697443
264040349,13.021838,80.268546
264040350,13.0210318,80.2676225
264040352,13.0227767,80.2676912
264040353,13.0213183,80.2666889
264040354,13.0216459,80.2670605
264040355,13.0224697,80.2679707
264040356,13.0221546,80.2682577
264040357,13.0213404,80.2673456
264040358,13.0208506,80.2667812
264040360,13.0228645,80.2694138
264040376,13.0208689,80.2674441
264040379,13.0211779,80.2677912
264040506,13.022357,80.2644602
264040508,13.0221723,80.2648611
264040509,13.0228884,80.2623291
264040510,13.0224554,80.2635126
264040512,13.0232488,80.2646647
264040557,13.0229453,80.264488
264040561,13.0240644,80.2660821
264040568,13.0236291,80.2652704
264040569,13.025525,80.2671146
264040570,13.0247601,80.2665948
264040572,13.0244459,80.2670527
264040573,13.0240365,80.2667403
264040580,13.0242375,80.2638347
264040582,13.0227552,80.2627991
264040676,13.0178921,80.2717716
264040677,13.018536,80.2704239
264040678,13.0191578,80.2706795
264040679,13.0184052,80.2720808
264040682,13.0202027,80.2706341
264040683,13.0195888,80.2701136
264040684,13.0204305,80.2702521
264040685,13.0197568,80.2695536
268789809,13.0062398,80.246856
268789815,13.0066045,80.2436375
268789820,13.0067658,80.2403023
268789822,13.0066442,80.24615
268789823,13.0066507,80.2427147
268790432,13.0073267,80.2380038
269219209,13.0241323,80.2426925
269219211,13.0239337,80.2411929
269219215,13.0231288,80.2400773
269219217,13.0192192,80.23907
269219221,13.0257396,80.2425067
269219223,13.0252745,80.2409789
269219230,13.0255498,80.2428685
269219237,13.0238585,80.2429463
269219240,13.0235895,80.2409682
269219242,13.0230075,80.2403781
269219244,13.0233625,80.2427758
269219245,13.0231276,80.2410666
269219246,13.0225424,80.2411667
269219247,13.0199751,80.2403067
